scenario,settings,tips
portrait in sunlight,"ISO 100, f/2.0, 1/200",Use soft light or shade to avoid harsh shadows
night photography,"ISO 800-1600, f/1.8, 1/30",Use tripod to avoid blur
sports photography,"ISO 400-800, f/2.8, 1/1000",Use fast shutter to freeze motion
beach sunset,"ISO 100, f/8, 1/125",Shoot during golden hour
indoor photography,"ISO 400-800, f/2.2, 1/60",Use natural window light
low light environment,"ISO 800-3200, f/1.8, 1/30",Stabilize camera to avoid shake
food photography,"ISO 100-400, f/2.8, 1/125",Use side natural lighting
street photography,"ISO 200-800, f/4, 1/250",Capture candid moments quickly
portrait golden hour,"ISO 100, f/1.8, 1/250",Use warm light for cinematic look
indoor product photography,"ISO 200, f/5.6, 1/125",Use clean background and controlled lighting
night city lights,"ISO 800-600, f/2.0, 1/30",Capture reflections and light trails
wildlife photography,"ISO 400-800, f/5.6, 1/1000",Use zoom lens and fast shutter
landscape photography,"ISO 100, f/8, 1/125",Use tripod for sharp details
macro photography,"ISO 200-400, f/2.8, 1/200",Focus carefully on subject details
portrait indoor low light,"ISO 800, f/1.8, 1/60",Use reflector or soft light source
concert photography,"ISO 1600-3200, f/2.8, 1/250",Adjust to changing stage lights
architecture photography,"ISO 100, f/8, 1/125",Keep lines straight and use wide angle
foggy weather photography,"ISO 100-400, f/5.6, 1/125",Emphasize mood and depth
rain photography,"ISO 400, f/2.8, 1/250",Protect camera and capture reflections
sunrise photography,"ISO 100, f/8, 1/125",Arrive early for best lighting
silhouette photography,"ISO 100, f/11, 1/200",Expose for background light
long exposure water,"ISO 100, f/11, 1-10s",Use tripod for smooth water effect
